Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,23,0.4,17,220.21
23,23,0.4,17,199.80
23,23,0.4,17,211.21
23,23,0.4,17,146.40
23,23,0.4,17,281.61
23,23,0.4,17,256.98
23,23,0.4,17,301.81
23,23,0.4,17,194.01
23,23,0.4,17,300.93
23,23,0.4,17,371.09
23,23,0.4,17,295.76
23,23,0.4,17,189.83
23,23,0.4,17,186.62
23,23,0.4,17,240.83
23,23,0.4,17,166.92
23,23,0.4,17,199.13
23,23,0.4,17,212.78
23,23,0.4,17,321.58
23,23,0.4,17,238.60
23,23,0.4,17,238.32
23,23,0.4,17,218.38
23,23,0.4,17,197.10
23,23,0.4,17,250.38
23,23,0.4,17,295.76
23,23,0.4,17,260.09
23,23,0.4,17,130.94
23,23,0.4,17,176.67
23,23,0.4,17,222.63
23,23,0.4,17,285.86
23,23,0.4,17,131.96
23,23,0.4,17,218.38
23,23,0.4,17,173.61
23,23,0.4,17,305.56
23,23,0.4,17,224.72
23,23,0.4,17,248.50
23,23,0.4,17,134.98
23,23,0.4,17,234.36
23,23,0.4,17,269.20
23,23,0.4,17,176.29
23,23,0.4,17,253.84
23,23,0.4,17,252.78
23,23,0.4,17,238.32
23,23,0.4,17,157.43
23,23,0.4,17,308.18
23,23,0.4,17,236.07
23,23,0.4,17,290.27
23,23,0.4,17,258.80
23,23,0.4,17,236.07
23,23,0.4,17,360.47
23,23,0.4,17,289.35
23,23,0.4,17,146.40
23,23,0.4,17,186.98
23,23,0.4,17,270.20
23,23,0.4,17,245.52
23,23,0.4,17,320.12
23,23,0.4,17,312.50
23,23,0.4,17,199.80
23,23,0.4,17,176.29
23,23,0.4,17,199.13
23,23,0.4,17,234.36
23,23,0.4,17,150.46
23,23,0.4,17,232.92
23,23,0.4,17,165.71
23,23,0.4,17,269.20
23,23,0.4,17,324.28
23,23,0.4,17,280.17
23,23,0.4,17,247.69
23,23,0.4,17,352.77
23,23,0.4,17,290.04
23,23,0.4,17,173.61
23,23,0.4,17,327.76
23,23,0.4,17,280.17
23,23,0.4,17,261.89
23,23,0.4,17,234.35
23,23,0.4,17,228.27
23,23,0.4,17,217.46
23,23,0.4,17,124.65
23,23,0.4,17,186.98
23,23,0.4,17,109.19
23,23,0.4,17,155.28
23,23,0.4,17,129.40
23,23,0.4,17,215.28
23,23,0.4,17,173.61
23,23,0.4,17,197.78
23,23,0.4,17,232.92
23,23,0.4,17,238.32
23,23,0.4,17,191.59
23,23,0.4,17,194.02
23,23,0.4,17,202.46
23,23,0.4,17,248.50
23,23,0.4,17,202.13
23,23,0.4,17,245.52
23,23,0.4,17,300.93
23,23,0.4,17,223.53
23,23,0.4,17,172.06
23,23,0.4,17,143.16
23,23,0.4,17,290.27
23,23,0.4,17,194.02
23,23,0.4,17,340.60
23,23,0.4,17,197.78
23,23,0.4,17,238.32
