Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
22.0,20.0,0.6,19.0,279.22287
22.0,21.0,0.3,17.0,215.53763
22.0,21.0,0.6,17.0,243.1136
22.0,21.0,0.6,19.0,211.31703
22.0,22.0,0.3,19.0,272.0374
22.0,22.0,0.4,19.0,303.73972
22.0,22.0,0.5,19.0,227.3474
22.0,22.0,0.6,17.0,347.60367
22.0,22.0,0.6,18.0,248.61476
22.0,22.0,0.6,19.0,228.66792
22.0,22.0,0.6,20.0,348.122
22.0,22.0,0.6,21.0,265.18115
22.0,22.0,0.7,19.0,171.40634
22.0,23.0,0.6,19.0,185.5745
23.0,20.0,0.3,17.0,227.6653
23.0,20.0,0.4,17.0,361.48697
23.0,20.0,0.5,17.0,278.90536
23.0,20.0,0.6,19.0,234.4669
23.0,20.0,0.7,17.0,249.60387
23.0,21.0,0.3,17.0,249.33861
23.0,21.0,0.4,17.0,235.80475
23.0,21.0,0.5,17.0,256.2949
23.0,21.0,0.6,17.0,207.13515
23.0,21.0,0.6,19.0,220.10568
23.0,21.0,0.7,17.0,292.9722
23.0,22.0,0.3,17.0,405.6494
23.0,22.0,0.3,19.0,198.074
23.0,22.0,0.4,17.0,360.9795
23.0,22.0,0.4,19.0,196.41634
23.0,22.0,0.5,17.0,488.1095
23.0,22.0,0.5,19.0,234.1499
23.0,22.0,0.6,17.0,313.08624
23.0,22.0,0.6,19.0,226.891
23.0,22.0,0.6,20.0,363.76385
23.0,22.0,0.7,19.0,293.15942
23.0,23.0,0.3,17.0,288.50873
23.0,23.0,0.4,17.0,230.57149
23.0,23.0,0.5,17.0,276.2281
23.0,23.0,0.6,17.0,235.00089
23.0,23.0,0.7,17.0,254.5748
23.0,24.0,0.6,19.0,206.2313
24.0,20.0,0.6,19.0,241.9002
24.0,21.0,0.6,19.0,312.84344
24.0,22.0,0.3,19.0,274.59842
24.0,22.0,0.4,19.0,335.2494
24.0,23.0,0.3,19.0,302.79733
24.0,23.0,0.4,19.0,250.7356
24.0,23.0,0.5,19.0,209.3779
24.0,23.0,0.6,19.0,427.1971
24.0,23.0,0.7,19.0,292.99457
24.0,24.0,0.3,19.0,315.41882
24.0,24.0,0.4,19.0,346.5714
24.0,24.0,0.5,19.0,358.6828
24.0,24.0,0.6,19.0,304.2493
24.0,24.0,0.7,19.0,236.8396
25.0,20.0,0.6,19.0,253.70862
25.0,21.0,0.3,21.0,265.0086
25.0,21.0,0.4,17.0,334.0689
25.0,21.0,0.4,18.0,301.271
25.0,21.0,0.4,20.0,300.813
25.0,21.0,0.4,21.0,299.958
25.0,21.0,0.5,18.0,392.3065
25.0,21.0,0.5,20.0,323.5356
25.0,21.0,0.5,21.0,310.8169
25.0,21.0,0.6,19.0,372.28198
25.0,21.0,0.7,17.0,539.0237
25.0,21.0,0.7,18.0,460.3058
25.0,21.0,0.7,20.0,416.15683
25.0,21.0,0.7,21.0,244.78613
25.0,22.0,0.4,17.0,237.3685
25.0,22.0,0.4,18.0,288.4554
25.0,22.0,0.4,19.0,260.25766
25.0,22.0,0.4,20.0,317.29852
25.0,22.0,0.4,21.0,273.1009
25.0,22.0,0.5,19.0,256.8224
25.0,22.0,0.6,17.0,228.01852
25.0,22.0,0.6,18.0,308.77792
25.0,22.0,0.6,19.0,267.6133
25.0,22.0,0.6,20.0,312.56702
25.0,22.0,0.6,21.0,292.2193
25.0,22.0,0.7,19.0,347.88336
25.0,23.0,0.3,17.0,286.3012
25.0,23.0,0.3,18.0,294.3136
25.0,23.0,0.3,20.0,289.01068
25.0,23.0,0.5,20.0,251.0345
25.0,23.0,0.6,19.0,280.66406
25.0,24.0,0.6,19.0,263.3085
